iter	RMSE
0	0.8996014251
1	0.8659416618
2	0.8347845109
3	0.8048883521
4	0.7773819759
5	0.7500166444
6	0.725295142
7	0.7017685865
8	0.6799609527
9	0.6581719033
10	0.6377296763
11	0.6186334266
12	0.600836542
13	0.5830435728
14	0.5673732109
15	0.5511095105
16	0.5386005982
17	0.5263276697
18	0.5139541131
19	0.5040402662
20	0.4928579445
21	0.4825726223
22	0.4727230273
23	0.4634092353
24	0.4550318367
25	0.4474133854
26	0.4403474445
27	0.4324454264
28	0.4264346367
29	0.4203037569
30	0.4151839073
31	0.4100383795
32	0.405773094
33	0.4011207915
34	0.3965995996
35	0.3926253823
36	0.3888821166
37	0.3852789098
38	0.3817247006
39	0.3786267012
40	0.3756840896
41	0.3728570998
42	0.3701068424
43	0.367447917
44	0.3655023635
45	0.3631982283
46	0.3608469013
47	0.3589334141
48	0.3569579558
49	0.3550643806
50	0.3534437602
51	0.3519259137
52	0.3500616835
53	0.3488545799
54	0.3472976756
55	0.34591776
56	0.3446365019
57	0.3435864789
58	0.342453915
59	0.3411870468
60	0.3401333126
61	0.3390001439
62	0.3380992551
63	0.3372507512
64	0.3363029838
65	0.3355742059
66	0.3347369117
67	0.3337477012
68	0.3327729611
69	0.331700591
70	0.3309795139
71	0.3303353639
72	0.3298679513
73	0.329069349
74	0.3286008054
75	0.328075132
76	0.3272044646
77	0.3264826448
78	0.3258752003
79	0.3253581107
80	0.3247145823
81	0.3239877575
82	0.3233021042
83	0.3230134193
84	0.3225268554
85	0.3220922228
86	0.3214871428
87	0.3209975979
88	0.3204562596
89	0.3199610753
90	0.3196032277
91	0.3190345996
92	0.3186322153
93	0.3182006817
94	0.3178190955
95	0.3173512999
96	0.3169933185
97	0.3163396976
98	0.3157728822
99	0.3154780116
100	0.3150473169
101	0.314498575
102	0.3141336954
103	0.3138460098
104	0.3133969064
105	0.3130619699
106	0.3127231396
107	0.3123090821
108	0.3119690522
109	0.3116325569
110	0.3111483455
111	0.3107286918
112	0.3101067262
113	0.3095864112
114	0.3093636955
115	0.3089009438
116	0.308537389
117	0.3081776557
118	0.3077472693
119	0.3073422686
120	0.3069662548
121	0.3064898843
122	0.3058813635
123	0.3055248932
124	0.3049736436
125	0.3047166313
126	0.3041808732
127	0.303887187
128	0.303387778
129	0.3030689961
130	0.3025893469
131	0.3023601807
132	0.3021762992
133	0.3017592274
134	0.3014432397
135	0.3010737838
136	0.3008658142
137	0.3005406989
138	0.3001986662
139	0.2998663945
140	0.2994711444
141	0.2991503052
142	0.2987808911
143	0.2985739355
144	0.2981585687
145	0.297958545
146	0.297463661
147	0.2967986385
148	0.2966464447
149	0.2962941104
150	0.2959444192
151	0.2955509704
152	0.2952418172
153	0.2948496565
154	0.2944180483
155	0.2940885441
156	0.2936291176
157	0.2932348551
158	0.292882053
159	0.2924673419
160	0.2921751157
161	0.2918534211
162	0.2915033807
163	0.2912853543
164	0.2909638834
165	0.2903155949
166	0.2899923548
167	0.2896418601
168	0.2894148846
169	0.2891618887
170	0.2889548827
171	0.2886811076
172	0.2884470773
173	0.2880959104
174	0.2877564738
175	0.2872332863
176	0.2870050081
177	0.2866851373
178	0.2864277437
179	0.2861980913
180	0.2858769118
181	0.2855062325
182	0.2853082294
183	0.2848890139
184	0.284612164
185	0.2843191709
186	0.2840663719
187	0.2837186177
188	0.2834121191
189	0.2831132806
190	0.2828670306
191	0.2824477832
192	0.2822627924
193	0.2818652778
194	0.2815839731
195	0.2813374255
196	0.2811310454
197	0.2808054481
198	0.280396418
199	0.2800935284
200	0.2798276697
201	0.2795477672
202	0.2791188692
203	0.2788993828
204	0.2784371711
205	0.278056131
206	0.2777040966
207	0.2774407845
208	0.2771461543
209	0.2768577093
210	0.2764867647
211	0.2761493247
212	0.2759055435
213	0.2755968066
214	0.2752258594
215	0.2749881615
216	0.2745999339
217	0.2742916685
218	0.2739318816
219	0.273759955
220	0.2734629826
221	0.2730865951
222	0.2725368959
223	0.2721654327
224	0.2716287068
225	0.2713356421
226	0.2709661977
227	0.2706607978
228	0.2705724848
229	0.2702099048
230	0.2698943492
231	0.2696268315
232	0.2694926737
233	0.2691213226
234	0.268822353
235	0.2685227279
236	0.2681921546
237	0.2680010295
238	0.2677618532
239	0.2674793337
240	0.2668118746
241	0.2664628827
242	0.2662671861
243	0.2660558155
244	0.2657663033
245	0.2655408906
246	0.2652467913
247	0.2651416764
248	0.2647767119
249	0.2645063288
250	0.2641626317
251	0.2637412235
252	0.2634276898
253	0.2632382682
254	0.2630021374
255	0.2628282573
256	0.2625086756
257	0.2621811976
258	0.2618326747
259	0.2615520956
260	0.2613051943
261	0.2609548574
262	0.2607735352
263	0.2604965407
264	0.2601017699
265	0.2598646489
266	0.2596354671
267	0.2594513917
268	0.2593318305
269	0.2590538263
270	0.2588822665
271	0.2587163215
272	0.2585926502
273	0.258172665
274	0.2578296873
275	0.2575709607
276	0.2573406157
277	0.2570703618
278	0.2569358978
279	0.256680281
280	0.256467839
281	0.2562077112
282	0.2560083312
283	0.255689553
284	0.255620116
285	0.2554152888
286	0.2551847372
287	0.25507244
288	0.2548961056
289	0.25486588
290	0.2547713777
291	0.2544133683
292	0.2543589138
293	0.2541814359
294	0.2536993716
295	0.2533485714
296	0.2532032646
297	0.2529820135
298	0.2527879631
299	0.2524634107
300	0.2521547788
301	0.2519426575
302	0.2517272448
303	0.2515712581
304	0.2512495434
305	0.2510487359
306	0.2507850782
307	0.250744505
308	0.2505336194
309	0.2502648963
310	0.2500523394
311	0.2498935257
312	0.2496464213
313	0.249316873
314	0.2491609984
315	0.2490279197
316	0.2488727705
317	0.248585011
318	0.2483193784
319	0.248101196
320	0.247942905
321	0.2477915616
322	0.2477371705
323	0.2476998861
324	0.2474309544
325	0.24706985
326	0.2469604341
327	0.2466278293
328	0.2462979943
329	0.2460367986
330	0.2457690762
331	0.2455591529
332	0.24534821
333	0.2451948922
334	0.2450853489
335	0.2447592422
336	0.2445744131
337	0.2444335533
338	0.244057682
339	0.2438400743
340	0.2435711453
341	0.243351963
342	0.2432478359
343	0.2430784917
344	0.2429580262
345	0.2428122928
