iter	Passed	Remaining
0	5	5422
1	10	5130
2	15	5059
3	19	4827
4	23	4628
5	27	4486
6	31	4463
7	35	4372
8	39	4329
9	42	4247
10	47	4230
11	50	4168
12	54	4121
13	57	4075
14	61	4048
15	65	4047
16	69	4017
17	73	3985
18	76	3942
19	80	3934
20	83	3906
21	87	3885
22	90	3863
23	94	3861
24	98	3842
25	101	3816
26	105	3792
27	108	3764
28	112	3758
29	115	3737
30	118	3715
31	122	3692
32	125	3672
33	129	3667
34	132	3649
35	135	3632
36	138	3612
37	142	3598
38	146	3600
39	149	3584
40	152	3568
41	155	3554
42	159	3554
43	163	3557
44	167	3553
45	170	3539
46	173	3525
47	177	3526
48	181	3515
49	184	3503
50	187	3490
51	191	3483
52	194	3481
53	198	3474
54	201	3466
55	204	3454
56	208	3449
57	212	3445
58	215	3436
59	218	3427
60	221	3417
61	225	3415
62	229	3406
63	232	3396
64	235	3387
65	238	3377
66	242	3377
67	246	3371
68	249	3363
69	252	3359
70	256	3353
71	259	3349
72	263	3341
73	266	3333
74	269	3325
75	273	3322
76	276	3319
77	280	3314
78	283	3306
79	286	3298
80	290	3294
81	293	3288
82	296	3281
83	300	3274
84	303	3265
85	307	3263
86	310	3259
87	313	3252
88	316	3244
89	320	3237
90	323	3234
91	327	3227
92	330	3220
93	333	3213
94	336	3206
95	340	3204
96	343	3197
97	346	3190
98	349	3183
99	352	3175
100	356	3176
101	360	3170
102	363	3164
103	366	3159
104	370	3156
105	374	3155
106	377	3151
107	380	3144
108	383	3138
109	387	3136
110	391	3132
111	394	3128
112	397	3122
113	401	3117
114	404	3114
115	408	3110
116	411	3106
117	414	3101
118	418	3096
119	422	3094
120	425	3092
121	429	3088
122	432	3082
123	435	3078
124	439	3075
125	442	3069
126	445	3063
127	448	3057
128	452	3055
129	456	3051
130	459	3047
131	462	3042
132	466	3038
133	469	3036
134	473	3035
135	477	3031
136	480	3025
137	483	3020
138	487	3019
139	490	3015
140	494	3010
141	497	3005
142	501	3003
143	504	3000
144	508	2996
145	511	2991
146	514	2987
147	518	2984
148	522	2981
149	525	2976
150	528	2973
151	532	2969
152	536	2968
153	539	2962
154	542	2958
155	545	2953
156	549	2950
157	553	2949
158	557	2949
159	561	2945
160	564	2941
161	568	2941
162	572	2939
163	576	2937
164	579	2932
165	583	2931
166	587	2932
167	591	2930
168	594	2924
169	598	2922
170	603	2925
171	607	2923
172	610	2920
173	614	2917
174	619	2920
175	623	2919
176	627	2916
177	642	2965
178	645	2961
179	650	2962
180	654	2963
181	658	2960
182	662	2955
183	666	2954
184	670	2954
185	674	2952
186	678	2949
187	683	2951
188	687	2951
189	691	2949
190	695	2946
191	700	2949
192	704	2946
193	708	2944
194	712	2942
195	717	2943
196	721	2939
197	725	2937
198	728	2932
199	733	2935
200	737	2931
201	741	2928
202	744	2924
203	749	2925
204	753	2923
205	757	2919
206	761	2915
207	766	2917
208	770	2914
209	775	2918
210	780	2919
211	784	2917
212	788	2913
213	791	2908
214	797	2910
215	801	2907
216	804	2903
217	808	2899
218	813	2901
219	817	2898
220	821	2896
221	825	2892
222	830	2893
223	834	2890
224	837	2886
225	841	2882
226	846	2882
227	850	2878
228	853	2872
229	856	2867
230	861	2866
231	865	2863
232	868	2859
233	871	2854
234	875	2851
235	879	2848
236	883	2843
237	886	2838
238	890	2835
239	894	2831
240	897	2827
241	901	2822
242	904	2817
243	908	2814
244	911	2810
245	915	2805
246	918	2799
247	921	2794
248	925	2790
249	928	2785
250	931	2780
251	935	2775
252	938	2770
253	941	2766
254	945	2761
255	948	2756
256	951	2751
257	955	2747
258	959	2745
259	963	2740
260	966	2737
261	970	2732
262	974	2730
263	978	2726
264	981	2722
265	985	2719
266	989	2716
267	993	2712
268	997	2709
269	1000	2705
270	1004	2702
271	1008	2699
272	1012	2695
273	1015	2691
274	1019	2687
275	1023	2684
276	1030	2689
277	1038	2696
278	1045	2700
279	1057	2718
280	1065	2725
281	1072	2731
282	1080	2737
283	1084	2732
284	1088	2731
285	1095	2736
286	1102	2737
287	1107	2737
288	1111	2733
289	1115	2729
290	1118	2725
291	1123	2725
292	1127	2721
293	1131	2717
294	1136	2715
295	1141	2714
296	1145	2711
297	1149	2708
298	1154	2707
299	1158	2703
300	1162	2698
301	1166	2695
302	1171	2694
303	1175	2691
